actors,country,director,genre,grade,introduce,keywords,language,length,name,up_date 
"约翰·加菲尔德,莉莉·帕尔默,黑兹尔·布鲁克斯,安妮·里维尔,威廉姆·康拉德",美国,罗伯特·罗森,"
                   剧情        / 黑色         / 体育        ",7.6,A talented boxer's young career hits difficult terrain when an unethical promoter takes interest in him.,"纽约市,腐败,贫穷,白手起家,歹徒","
          英语        ",104分钟,"
        出卖灵肉的人,Body and Soul ",(1947)
"伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,肯·斯托特,格拉汉姆·麦克泰维什",新西兰,彼得·杰克逊,"
                   冒险        / 家庭        / 奇幻片        ",7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","巫师,龙,侏儒,霍比特人,兽人","
          英语        ",182分钟,"
        霍比特人1：意外之旅,The Hobbit: An Unexpected Journey ",(2012)
"伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,肯·斯托特,格拉汉姆·麦克泰维什",新西兰,彼得·杰克逊,"
                   冒险        / 奇幻片        ",7.4,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,"中土,兽人,霍比特人,精灵,军队","
          英语        ",164分钟,"
        The Hobbit: The Battle of the Five Armies ",(2014)
"川村千里,王书麒,徐锦江,麦家琪,Ka Ling Yeung",中国香港,林义雄,"
                   历史        / 爱情        ",5.6,"Cheung, A 23-year-old unmarried travelling scholar, stops over at a monastery, where he see a beautiful woman. Against the rules, Monk Faben allows Cheung to stay and woo the girl, Ann-Ann.","窥阴癖,周期片,色情文学,软核","
          粤语        ",93分钟,"
        Xi xiang yan tan ",(1997)
"Philippe Leroy,阿道弗·切利,Jacques Herlin,Tomás Torres,Francisco Sanz",意大利,丁度·巴拉斯,"
                   西部        ",5.8,"A man referred to only as ""Yankee"" rides into a dying, desolate town in frontier New Mexico which is completely controlled by a man called the ""Grand Cougar."" Almost immediately, a battle for dominance ensues.","亚利桑那州,新墨西哥领土,理发店,恶棍,算命者","
          意大利语        ",96分钟,"
        Yankee ",(1966)
"帕特里克·斯图尔特,休·杰克曼,伊恩·麦克莱恩,哈莉·贝瑞,法米克·詹森",加拿大,布莱恩·辛格,"
                   动作片        / 科幻        / 惊悚片        ",7.4,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","洛根字符,埃里克·莱恩谢尔性格,查尔斯泽维尔教授,流氓字符,风暴特征","
          英语        ",134分钟,"
        X2 ",(2003)
Clelle Mahon,美国,Barry Mahon,"
                   恐怖        ",2.8,"Panic and fear strike the hearts of the terrorised sun-kissed nudist girls of a once peaceful nudist resort in sun-bleached Miami, when a mysterious, yet menacing intruder manages to find his way in the camp.","被动物杀死,内衣,内裤","
          英语        ",60分钟,"
        The Beast That Killed Women ",(1965)
Jean-Paul Cardinaux,瑞士,Jean-Paul Cardinaux,"
                   喜剧         ",6.4,"Marie and Elodie think that the lack of affordable housing for the young can be resolved by reducing the number of retired pensioners in their apartment block, Le Lignon. As they scheme, they learn about the elderly and themselves.",,"
          法语        ",103分钟,"
        Sweet Girls ",(2015)
"李连杰,梁朝伟,张曼玉,章子怡,陈道明",中国大陆,张艺谋,"
                   动作片        / 冒险        / 历史        ",7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","公元前3世纪。,刺客,中国古代,乌夏,227 b.c.","
          普通话        ",96分钟,"
        英雄,Ying xiong ",(2002)
"威尔·史密斯,查理兹·塞隆,杰森·贝特曼,杰·海德,埃迪·马森",美国,彼得·博格,"
                   动作片        / 奇幻片        ",6.4,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"超级英雄,反同性恋语言,黑人超级英雄,非漫画书超级英雄,欺负","
          越南语        ",102分钟,"
        Hancock ",(2008)
"弗朗西斯卡·内莉,奥斯卡·拉托依雷,玛丽亚·巴兰科,费尔南多·古林,罗塞娜·派斯特",西班牙,比格斯·鲁纳,"
                   剧情        ",5.6,The story of a young woman's descent into the kinky and dangerous sexual underground in Madrid.,"女性性欲,双重渗透","
          西班牙语        ",95分钟,"
        Las edades de Lulú ",(1990)
"迈克尔·卡波纳罗,约翰·布莱奇曼,Jonathan Chase,Mitch Morris,Ashlie Atkinson",美国,Todd Stephens,"
                   喜剧         / 爱情        ",4.9,Four gay high school friends make a pact to lose their virginity before they go to college.,"2000s,赤脚男","
          英语        ",92分钟,"
        另一部同志电影,Another Gay Movie ",(2007)
"薇薇卡·福克斯,Ambrosia Kelley,迈克尔·帕克斯,詹姆士·帕克斯,Jonathan Loughran",美国,昆汀·塔伦蒂诺,"
                   动作片        / 犯罪        / 惊悚片        ",8,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","新娘,复仇,女刺客,武术,复仇","
          英语        ",137分钟,"
        杀死比尔2,Kill Bill: Vol. 2 ",(2004)
"西尔维斯特·史泰龙,塔莉娅·夏尔,波特·杨,卡尔·韦瑟斯,布吉斯·梅迪斯",美国,John G. Avildsen,"
                   剧情        / 体育        ",8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"拳击手,1970s,打架,拳击,培训","
          英语        ",145分钟,"
        洛奇,Rocky ",(1976)
"休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德,詹妮弗·劳伦斯,哈莉·贝瑞",美国,布莱恩·辛格,"
                   动作片        / 冒险        / 科幻        / 惊悚片        ",8,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"时间旅行,神力,超强度,时间悖论,反乌托邦","
          英语        ",151分钟,"
        X战警：逆转未来,X-Men: Days of Future Past ",(2014)
"迪伦·贝克,Stacie Bono,蒂莫西·赫顿,莎朗·斯通,普路特·泰勒",德国,瑞恩·艾斯林格,"
                   剧情        / 惊悚片        ",5.1,"The intertwining lives of three men reveal that each deal with his problems in different, self-destructive ways","内疚,内疚感,车祸,致命车祸,车祸中的死亡","
          英语        ",86分钟,"
        森林里的男人,When a Man Falls in the Forest ",(2009)
"克莉斯汀,Ruth Collins,Frederick Lewis,Maurice Dupré,Kristin Cuadraro",意大利,乔·达马托,"
                   剧情        ",3.3,"After being married and soon separated, Sarah Asproon is recalled to New Orleans as a executor of Lionel Durrington, her former recently deceased lover, a member of the richest family in Louisiana, with the task of establishing, in eleven days, who, among the four heirs are the only one, is worthy o…","白色内裤,内裤,女主角,软核","
          意大利语        ",84分钟,"
        Eleven Days, Eleven Nights 2 ",(1991)
"金瑞亨,金圣洙",韩国,奉万大,"
                   剧情        ",5.2,Shin-ah and Dong-ki hook up for an unforgettable night despite the fact that she has a boyfriend. She decides to break up with her boyfriend and hook up with him again. The two madly fall in love and the romance begins. But can they build an actual relationship that is more than just an excuse for t…,"软核,指法肛门,肛门射精","
          韩语        ",85分钟,"
        Mat-iss-neun Sek-seu Keu-ri-go Sa-lang ",(2003)
"艾米·波勒,菲利丝·史密斯,理查德·坎德,比尔·哈德尔,刘易斯·布莱克",美国,彼特·道格特,"
                   冒险        / 动画        / 喜剧         / 剧情        / 家庭        / 奇幻片        ",8.2,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","欢乐,悲伤,记忆,愤怒,逃跑","
          英语        ",95分钟,"
        头脑特工队,Inside Out ",(2015)
"崔维斯·费米尔,宝拉·巴顿,本·福斯特,多米尼克·库珀,托比·凯贝尔",中国大陆,邓肯·琼斯,"
                   动作片        / 冒险        / 奇幻片        ",6.8,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","基于视频游戏,兽人,小说语言,剑与巫术,魔术师","
          英语        ",123分钟,"
        魔兽,Warcraft ",(2016)
"阿弗西娅·埃尔奇,阿什·斯戴梅斯特,卡罗勒·罗谢,保罗·艾米,艾拉·马克斯",英国,西尔薇·维尔海迪,"
                   惊悚片        ",4.4,法国妓女Virgiinie和拯救被贩运女孩的男子Rupert的故事。,"应召女郎,裸胸,妓女,爱","
          英语        ",102分钟,"
        性爱娃娃,Sex Doll ",(2016)
"马克·沃尔伯格,Dicky Eklund Jr.,Michael Marchand,Rhet Kidd,约翰·古德曼",中国香港,彼得·博格,"
                   动作片        / 犯罪        / 剧情        / 历史        / 惊悚片        ",7.4,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.","警察,恐怖分子,基于真实的故事,搜捕,波士顿马拉松","
          英语        ",133分钟,"
        恐袭波士顿,Patriots Day ",(2016)
"布鲁斯·威利斯,加里·奥德曼,伊安·霍姆,米拉·乔沃维奇,克里斯·塔克",法国,吕克·贝松,"
                   动作片        / 冒险        / 科幻        ",7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.","爱,未来城市,邪教电影,善与恶","
          英语        ",126分钟,"
        The Fifth Element ",(1997)
"海莉·斯坦菲尔德,小豪尔赫·兰登伯格,约翰·塞纳,杰森·德鲁克,帕梅拉·阿德龙",中国大陆,特拉维斯·奈特,"
                   动作片        / 冒险        / 科幻        ",6.8,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.","1980s,分拆,一个字标题,种间友谊,标题昆虫","
          英语        ",114分钟,"
        大黄蜂,Bumblebee ",(2018)
"克里斯·海姆斯沃斯,娜塔莉·波特曼,汤姆·希德勒斯顿,安东尼·霍普金斯,斯特兰·斯卡斯加德",美国,肯尼思·布拉纳,"
                   动作片        / 冒险        / 奇幻片        ",7,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","科学家,奇迹电影宇宙,尼克·暴怒,代理人菲尔·库尔森,克林特·巴顿","
          英语        ",115分钟,"
        雷神,Thor ",(2011)
"杰克·吉伦哈尔,米歇尔·莫纳汉,维拉·法米加,杰弗里·怀特,迈克尔·阿登",美国,邓肯·琼斯,"
                   动作片        / 剧情        / 悬疑        / 科幻        / 惊悚片        ",7.5,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,"时间循环,火车,记忆,悬念,惊悚片","
          英语        ",93分钟,"
        Source Code ",(2011)
"亨利·卡维尔,艾米·亚当斯,迈克尔·珊农,戴安·琳恩,罗素·克劳",美国,扎克·施奈德,"
                   动作片        / 冒险        / 科幻        ",7.1,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when survivors of his home planet invade Earth.","重新启动,扮演美国角色的英国演员,英雄的起源,基于漫画书,养子","
          英语        ",143分钟,"
        超人：钢铁之躯,Man of Steel ",(2013)
"Jack Cullison,Howard Cai,Jonathan Brett,Colbert Alembert,Andre Meadows",美国,Scott Wheeler,"
                   喜剧         ",2.8,"When a group of nerds leak a washed-up celebrity's sex tape, the publicity revives the actress's career and other Hollywood rejects want to star in the guys next ""production.""","书呆子,男女朋友关系,童贞,敲诈,大学","
          英语        ",87分钟,"
        名人性爱录像带,Celebrity Sex Tape ",(2012)
"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,斯科特·格伦,帕迪·康斯戴恩",美国,保罗·格林格拉斯,"
                   动作片        / 悬疑        / 惊悚片        ",8,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"记忆,黑暗的过去,闪回,大片,意外的结局","
          英语        ",115分钟,"
        谍影重重3 ,The Bourne Ultimatum ",(2007)
"查理·汉纳姆,迪亚哥·克莱特霍夫,伊德里斯·艾尔巴,Rinko Kikuchi,查理·戴",美国,吉尔莫·德尔,"
                   动作片        / 冒险        / 科幻        ",6.9,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.","开菊,人类驾驶机器人,飞行员,入口,生物","
          英语        ",131分钟,"
        Pacific Rim ",(2013)
"丁度·巴拉斯,辛琪雅·罗卡福尔特,Cristina Rinaldi,Erika Savastani,Gaia Zucchi",意大利,丁度·巴拉斯,"
                   喜剧         ",5.2,"This film is a series of letters, photos and video cassettes which women often send in to certain newspapers. By visualizing their story-telling (the name given by the psychologists to their fantasies) the film portrays the confessions, the secret longings, the adventures, recollections, dreams, des…","女的脱衣服,勃起","
          意大利语        ",86分钟,"
        Fermo posta Tinto Brass ",(1995)
毕志飞,中国大陆,毕志飞,"
                   喜剧         / 剧情        ",1,"Pure Hearts: Into Chinese Showbiz is the maiden work of Ph.D. Bi Zhifei, a 36-year-old director. It took him ten years to write the screenplay and to produce the movie. This is an unprecedented work where a bold decision was made to star 17 students learning in the Acting Department of eight the mos…",,"
          中文        ",96分钟,"
        纯洁心灵·逐梦演艺圈,Pure Hearts: Into Chinese Showbiz ",(2015)
"哈里森·福特,肖恩·康纳利,丹霍姆·艾略特,艾莉森·杜迪,约翰·瑞斯",美国,史蒂文·斯皮尔伯格,"
                   动作片        / 冒险        ",8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against ","圣杯,1912年,美利坚合众国,左轮手枪,国防军","
          英语        ",127分钟,"
        夺宝奇兵3,Indiana Jones and the Last Crusade ",(1989)
"马特·达蒙,弗朗卡·波滕特,布莱恩·考克斯,朱丽娅·斯蒂尔斯,卡尔·厄本",美国,保罗·格林格拉斯,"
                   动作片        / 悬疑        / 惊悚片        ",7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","隐藏的真相,悬念,秘密过去,黑暗的过去,健忘症","
          英语        ",108分钟,"
        The Bourne Supremacy ",(2004)
"汤姆·汉克斯,蒂姆·艾伦,唐·里克斯,吉姆·法尼,华莱士·肖恩",美国,约翰·拉塞特,"
                   冒险        / 动画        / 喜剧         / 家庭        / 奇幻片        ",8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"玩具,竞争,牛仔,CGI动画,爪式起重机","
          英语        ",74分钟,"
        玩具总动员,Toy Story ",(1995)
"布拉德·皮特,安吉丽娜·朱莉,文斯·沃恩,亚当·布罗迪,凯丽·华盛顿",美国,道格·里曼,"
                   动作片        / 犯罪        / 喜剧         / 惊悚片        ",6.5,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,"特务,字符名称作为标题,沙漠,姓氏","
          英语        ",126分钟,"
        史密斯夫妇,Mr. & Mrs. Smith ",(2005)
"玛丽琳·钱伯斯,George S. McDonald,Johnnie Keyes,Elizabeth Knowles,Yank Levine",美国,Artie Mitchell,"
                   剧情        / 成人        ",6,"A beautiful woman is abducted and initiated into a live sex act on a private stage, participating in lesbianism, interracial sex and a public orgy.","狂欢,女阴","
          英语        ",72分钟,"
        Behind the Green Door ",(1972)
"麦克·梅尔斯,艾迪·墨菲,卡梅隆·迪亚兹,约翰·利思戈,文森特·卡索",美国,安德鲁·亚当森,"
                   冒险        / 动画        / 喜剧         / 家庭        / 奇幻片        ",7.8,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","洋葱,催泪者,史诗,手臂被撕开","
          英语        ",90分钟,"
        怪物史瑞克,Shrek ",(2001)
"Rune Hallberg,Jack Frank,Jim Steffe,Teresa Svensson,Kim Frank",瑞典,马克·阿尔伯格,"
                   喜剧         / 成人        ",5.7,A horny girl named Eva is sent to a reform school by her repressed older sister to learn how to control her urges. The school turns out to be a front for sex school and even the girl's prude sister ends up learning something there.,被女人强奸的男人,"
          瑞典语        ",93分钟,"
        校园丑闻,Porr i skandalskolan ",(1974)
"麻吹淳子,朝霧友香,林温,Ken Mizoguchi,Shinshô Nakamaru",日本,西村昭五郎,"
                   恐怖        ",6.2,,"罗马色情,束缚","
          日语        ",65分钟,"
        Dan Oniroku hakui nawa jigoku ",(1980)
温竞祥,中国香港,温竞祥,"
                   剧情        ",0,"Set during Tang Dynasty, a beautiful and renowned concubine, Yeung Yuk Wan, danced her way into the arms of the Emperor. Discontent and hatred from the people was heard throughout the country, when the young concubine deemed Empress of China.",,"
          粤语        ",78分钟,"
        唐朝禁宫风月,Tang chao jin gong feng yue ",(1993)
"维勒克·范阿梅尔罗伊,Hugo Metsers,Lex Goudsmit,赫尔默特·沃登贝赫,Elsje de Wijn",荷兰,皮姆·德,"
                   剧情        / 爱情        ",5.9,"Although Frank is always cheating on her, Eva still cannot bring herself to leave him. But Frank objects both when Eva becomes pregnant as well as when she takes a lover of her own.",,"
          荷兰语        ",105分钟,"
        Frank en Eva ",(1973)
"Michelle von Treuberg,保拉·瑞曼,Jette Hering,露西·霍尔曼,莎莎·茵希",德国,维维安·内弗,"
                   喜剧         / 家庭        / 爱情        ",5.8,The girl gang and its five members experience love for the first time and all the problems that come with it.,"F级,信用卡上的错误,坠入爱河,动物保护区,树屋","
          德语        ",108分钟,"
        疯狂少女2,Die Wilden Hühner und die Liebe ",(2007)
"风户佑介,Rena Uchimura,Akira Shioji,Masataka Iwao,Ryûichi Nagashima",日本,牧口雄二,"
                   剧情        / 恐怖        ",5.8,"Two short stories set in Edo during the Shogun era. 1. During a time when Christians are persecuted vehemently, Iori falls in love with young Christian girl. When she and her family are captured during a raid, his sadistic master takes her as his personal slave to torment Iori, and tries breaking he…","折磨,虐待狂,绑在十字架上,惩罚,执行","
          日语        ",80分钟,"
        德川女性酷刑,Tokugawa onna keibatsu-emaki: Ushi-zaki no kei ",(1976)
"Halil Söyletmez,Doga Konakoglu,Emre Keskin,Ceyda Saltadal,Tanser Yilmazturk",土耳其,Gökhan Gök,"
                   喜剧         ",1,库玛利·塞伯和他的孩子们去度假。,,"
          土耳其语        ",100分钟,"
        Cumali Ceber: Allah Seni Alsin ",(2017)
"维多利亚·嘉丝蒂,杰克逊·尼科尔,切尔西·韩德勒,Josh Pence,简·拉维",美国,乔什·施瓦兹,"
                   冒险        / 喜剧         ",5.4,"Wren's Halloween plans go awry when she's made to babysit her brother, who disappears into a sea of trick-or-treaters. With her best friend and two nerds at her side, she needs to find her brother before her mom finds out he's missing.","少女,红桃皇后,波窥特性,Y世代,西奥多·罗斯福","
          英语        ",86分钟,"
        疯狂万圣夜,Fun Size ",(2012)
"Richard Harrison,莱娅·兰德尔,伊萨尔科·拉瓦奥利,Agnes Kalpagos,Gino Turini",意大利,Luigi Batzella,"
                   剧情        / 惊悚片        / 战争        ",3.1,"Durng World War II, an American major is captured by the Germans and thrown into a POW camp run by a sadistic Nazi officer, whose main pleasures are whipping the local female population and torturing prisoners. The major organizes an escape attempt using the camp's nubile female doctor as a hostage.","剥削电影,研磨片,囚犯,纳粹军官,女医生","
          意大利语        ",83分钟,"
        纳粹女魔王,Kaput Lager - Gli ultimi giorni delle SS ",(1977)
"威廉姆·卡特,苏珊·黛,约翰·赫德,比佛莉·德安姬罗,罗伯特·劳吉亚",美国,Joan Darling,"
                   剧情        / 爱情        ",6,"A young man is in love for the first time. However, his girlfriend is older than him, from a rich family and has more experience with relationships. Their love is sometimes emotionally draining, but physically very passionate. Can it last?","脱衣服,欲望,爱,大学","
          英语        ",92分钟,"
        初偿禁果,First Love ",(1977)
"维勒克·范阿梅尔罗伊,罗杰·范,André van den Heuvel,Alison Macro,Lo van Hensbergen",荷兰,Paul Collet,"
                   剧情        / 爱情        ",5.6,"Pierre and Paul earn their living as entertainers at parties. Just before the First World War, they are hired to cheer up Louisa's engagement party, and she divides her love for both in a ménage à trois.","有毒气体,卵裂,裸胸","
          荷兰语        ",109分钟,"
        Louisa, een woord van liefde ",(1972)
"Jean-Claude Aimini,Daniel Descamps,Stefania Sabatini,Yveline Céry,维托里奥·卡布里奥利",法国,雅克·罗齐耶,"
                   剧情        ",7.2,"Michel is a young technician in the fledgling TV industry and is due for military service in two months at the time of the Algerian War. Juliette and Liliane are inseparable best friends, and aspiring actresses, who hang around outside the TV studio. Michel invites them in to watch, flirts with them…","新的模糊,法国新浪潮","
          法语        ",106分钟,"
        再见菲律宾,Adieu Philippine ",(1962)
"爱德华·诺顿,丽芙·泰勒,蒂姆·罗斯,威廉·赫特,蒂姆·布雷克",美国,路易斯·莱特里尔,"
                   动作片        / 冒险        / 科幻        ",6.7,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","奇迹电影宇宙,基于漫画,布鲁斯班纳,重新启动系列,开演时的场景","
          英语        ",135分钟,"
        The Incredible Hulk ",(2008)
"工藤瞳,Satomi Shimazaki,Chinatsu Minamino",日本,Kôtarô Hanahishi,"
                  ",0,,"品库艾加,软核","
          日语        ",59分钟,"
        Honban urakagyô: Erekutokôru ikuiku ",(1990)
"安妮·吉拉尔多,Laurent Malet,查尔斯·登纳,斯特凡·奥德朗,弗罗伦斯·派梅尔",西班牙,弗朗克·阿珀德里,"
                   喜剧         / 剧情        ",5.3,"Laure is a 40-year-old psychologist who doesn't know her son, Jean. But the latter comes back to Paris and finds a brand new woman when he sees his mother.","母亲抛弃儿子,儿子不喜欢妈妈的男朋友,儿子嫉妒妈妈,母子团圆","
          法语        ",90分钟,"
        欲望之外,Le coeur à l'envers ",(1980)
"黄新惠,方银振,Sin-ae Shin,Mi-Ae Cho,Kap-sook Seo",韩国,朴哲洙,"
                   喜剧         ",6.7,"Through multiple story lines, amid graphic portrayals of actual births, caeseareans and a vasectomy, this satirical comedy-drama set in a women's clinic wages an all-out assault on contemporary Korean sexual and gender practices.","怀孕,流产,讽刺,分娩,堕胎","
          韩语        ",95分钟,"
        妇产科,Sanbuingwa ",(1997)
"绪形拳,三国连太郎,日向铃子,倍赏美津子,小川真由美",日本,今村昌平,"
                   犯罪        / 剧情        ",7.8,"Chronological exploits of Iwao Enokizu, a murderous thief on the run.","父子关系,连环杀手,男子戴眼镜,女人的衣服,警察","
          日语        ",139分钟,"
        复仇在我,Fukushû suru wa ware ni ari ",(1979)
"Katherine Hicks,Anya Beyersdorf,Valerie Bader,Roxane Wilson,Michelle Vergara Moore",澳大利亚,John Winter,"
                   剧情        ",5.7,"Through the eyes of Angie comes a film that will make you stop and really think about sex. Angie is a prostitute, a chameleon - a butterfly. As she reveals herself, layer-by-layer, she also exposes the man who is interviewing her.","妓女,题名,第四堵墙","
          英语        ",92分钟,"
        性爱告白,Black & White & Sex ",(2012)
"Ray Anthony,克里斯汀·阿努,Andy Arness,Alima Ashton-Sheibu,赫尔穆特·巴凯蒂斯",美国,拉娜·沃卓斯基,"
                   动作片        / 科幻        ",7.2,"Neo and his allies race against time before the machines discover the city of Zion and destroy it. While seeking the truth about the Matrix, Neo must save Trinity from a dark fate within his dreams.","甲骨文,邪教电影,预言,替代现实,三字标题","
          英语        ",138分钟,"
        The Matrix Reloaded ",(2003)
"艾德里安·奎因顿,科林·费尔斯,马克·斯特朗,Jonno Davies,杰克·达文波特",英国,马修·沃恩,"
                   动作片        / 冒险        / 喜剧         / 惊悚片        ",7.7,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.","间谍,培训,阶级差异,父亲之死","
          英语        ",129分钟,"
        王牌特工：特工学院,Kingsman: The Secret Service ",(2014)
"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,Boyd Holbrook,斯戴芬·莫昌特",美国,詹姆斯·曼高德,"
                   动作片        / 剧情        / 科幻        / 惊悚片        ",8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","惊奇漫画,X人,超级英雄,突变体,北达科他州","
          英语        ",122分钟,"
        金刚狼3：殊死一战,Logan ",(2017)
"妮基·瑞德,乔纳森·塔克,朱丽叶·冈扎罗,迈克尔·奥吉弗,哈维兰·莫里斯",美国,Nicholas DiBella,"
                   剧情        / 惊悚片        ",5.5,A seventeen-year-old photographer gets caught up in murder when he breaks his own rules and falls in love with one of his teenage models.,"摄影师,谋杀,模型,两个字标题,旁白旁白","
          英语        ",89分钟,"
        樱桃汁,Cherry Crush ",(2007)
"马修·麦康纳,詹妮弗·加纳,杰瑞德·莱托,丹尼斯·欧哈拉,斯蒂夫·扎恩",美国,Jean-Marc Vallée,"
                   传记        / 剧情        ",8,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","艾滋病毒,同性恋社区,毒品","
          英语        ",117分钟,"
        达拉斯买家俱乐部,Dallas Buyers Club ",(2013)
"Tim Ivey,吉娜·罗兰兹,斯塔尔勒塔·杜波利斯,詹姆斯·加纳,Anthony-Michael Q. Thomas",美国,尼克·卡萨维蒂,"
                   剧情        / 爱情        ",7.8,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","信,第二次机会,夏天的爱,阶级差异,疗养院","
          英语        ",123分钟,"
        恋恋笔记本,The Notebook ",(2004)
"瑞贝卡·布鲁克,Carl Parker,Marilyn Roberts,Valerie Marron,Michelle Vence",美国,拉德利·梅茨格,"
                   剧情        / 成人        ",6.2,Jean becomes interested in friend Claire's kinky sex with slave Anne.,"蒙着眼睛的女人,铁链女人,深裂","
          英语        ",89分钟,"
        The Image ",(1975)
"朱利安·格洛弗,布莱恩·考克斯,内森·琼斯,阿多尼·马洛皮斯,雅各布·史密斯",美国,沃尔夫冈·彼德森,"
                   剧情        / 历史        ",7.2,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","神话,希腊语,特洛伊,城市名称","
          英语        ",196分钟,"
        Troy ",(2004)
"安德鲁·加菲尔德,Richard Pyros,雅各布·华纳,米洛·吉布森,Darcy Bryce",澳大利亚,梅尔·吉布森,"
                   传记        / 剧情        / 历史        / 战争        ",8.1,World War II American Army Medic ,"第二次世界大战,依良心拒服兵役者,士兵,军医,1940s","
          英语        ",139分钟,"
        血战钢锯岭,Hacksaw Ridge ",(2016)
"哈里森·福特,马克·哈米尔,凯丽·费雪,亚当·德赖弗,黛西·雷德利",美国,J.J. Abrams,"
                   动作片        / 冒险        / 科幻        ",7.9,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.","重新启动,sanitation employee,重拍,俏皮幽默,sewer cleaner","
          英语        ",138分钟,"
        星球大战7：原力觉醒,Star Wars: Episode VII - The Force Awakens ",(2015)
"汤姆·克鲁斯,马克斯·冯,Steve Harris,尼尔·麦克唐纳,帕特里克·基尔帕特里克",美国,史蒂文·斯皮尔伯格,"
                   动作片        / 犯罪        / 悬疑        / 科幻        / 惊悚片        ",7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.","2054年,未来的黑色,新黑,华盛顿特区,通灵的","
          英语        ",145分钟,"
        Minority Report ",(2002)
"范·迪塞尔,杰森·斯坦森,道恩·强森,米歇尔·罗德里格兹,泰瑞斯·吉布森",中国大陆,F. Gary Gray,"
                   动作片        / 冒险        / 犯罪        / 惊悚片        ",6.7,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","背叛,防弹背心,被螺旋桨撞死,父女关系,taking a selfie","
          英语        ",148分钟,"
        The Fate of the Furious ",(2017)
